Term,Description
синовит ,Синовит - воспаление синовиальной оболочки (внутренний слой суставной сумки или костно-фиброзного канала) не распространяющееся на остальные ткани и элементы сустава 
синусит ,Синусит - воспаление слизистой оболочки одной или нескольких околоносовых пазух 
синусовая тахикардия ,"Синусовая тахикардиия - форма наджелудочковой тахиаритмии, характеризующаяся нормальным синусовым ритмом с частотой сердечных сокращений более 100 в минуту (у взрослых) "
синусоиды печени ,"Синусоиды печени - синусоидные капилляры (разновидность кровеносных капилляров диаметром 25-30 мкм), ответвляющиеся от междольковых вен и проходящие в дольках печени "
синцитий ,"Синцитий - сетевидная структура, состоящая из клеток, контактирующих друг с другом цитоплазматическими отростками "
системная красная волчанка ,"Системная красная волчанка (СКВ) - аутоиммунное заболевание человека, при котором вырабатываемые иммунной системой человека антитела повреждают ДНК здоровых клеток, преимущественно повреждается соединительная ткань с обязательным наличием сосудистого компонента "
системный васкулит ,"Васкулит системный -  воспаление стенок кровеносных сосудов, при котором поражаются сосуды многих органов или систем органов "
систола ,"Систола - фаза сердечного цикла, состоящая из последовательно протекающих сокращений миокарда предсердий и желудочков "
систолический шум ,"Систолический шум - шум, выслушиваемый в период сокращения желудочков между первым и вторым тонами сердца "
скарлатина ,"Скарлатина - острая инфекционная болезнь, вызываемая гемолитическим стрептококком, продуцирующим эритрогенный токсин; передается воздушно-капельным путем; характеризуется лихорадкой, интоксикацией, острым тонзиллитом с регионарным лимфаденитом, мелкоточечной сыпью "
скарповский треугольник ,"Бедренный треугольник (Trigonum femorale, PNA, JNA; trigonum femorale (fossa Scarpae major), BNA; син. скарповский треугольник) - треугольный участок передней поверхности бедра, ограниченный сверху паховой связкой, снаружи - внутренним краем портняжной мышцы, изнутри - наружным краем длинной приводящей мышцы. "
складки Керкринга ,"Круговые складки (син. Керкринга складки) - кладки слизистой оболочки тонкой кишки, расположенные циркулярно, увеличивающие рабочую поверхность и помогающие при поглощении и движении химуса "
склеродермия ,"Склеродермия - поражение кожи, характеризующееся ее диффузным или ограниченным уплотнением с последующим развитием фиброза и атрофии пораженных участков. "
склероз ,"Склероз - уплотнение органа, обусловленное заменой его погибших функциональных элементов соединительной (обычно фиброзной) тканью или гомогенной гиалиноподобной массой "
склероз боковой амиотрофический ,"Склероз боковой амиотрофический (син. Шарко болезнь) - хроническая прогрессирующая болезнь нервной системы неясной этиологии, характеризующаяся поражением двигательных нейронов головного и спинного мозга, дегенерацией корково-спинномозговых и корково-ядерных волокон; проявляется сочетанием центральных и периферических параличей (парезов) мышц конечностей и туловища, а также расстройствами двигательных функций тройничного, языкоглоточного, блуждающего и подъязычного нервов "
склероз рассеянный ,"Склероз рассеянный - хроническая прогрессирующая болезнь нервной системы, по-видимому вирусной этиологии; характеризуется возникновением рассеянных очагов демиелинизации с образованием склеротических бляшек преимущественно в белом веществе головного и спинного мозга, интермиттирующим течением с симптоматикой, соответствующей локализации поражений, например с двигательными расстройствами, нарушениями функций тазовых органов, координации движений, зрения, психическими расстройствами "
склеротерапия ,"Склеротерапия - процедура, которая используется для лечения заболеваний сосудистой и лимфатической системы, а также сосудистых новообразований (сосудистая мальформация). Для этого в просвет сосуда вводят специальный препарат, который вызывает склеивание его стенок и в дальнейшем - рассасывание. В детском и подростковом возрасте этот метод используют в основном для лечения новообразований сосудистой и лимфатической систем, у взрослых чаще всего им лечат варикозное расширение вен и геморрой "
скорбут ,"Цинга (син. скорбут) - болезнь, вызываемая острым недостатком витамина C, который приводит к нарушению синтеза коллагена, в результате чего соединительная ткань теряет свою прочность "
слабоумие дисмнестическое ,"Слабоумие парциальное (син. слабоумие дисмнестическое, слабоумие лакунарное) - слабоумие с неравномерно выраженными симптомами выпадения (памяти, интеллекта, эмоций и т.д.) при наличии сознания болезни, а в ряде случаев с сохранением критического отношения к своему состоянию; наблюдается чаще при нарушениях мозгового кровообращения, черепно-мозговой травме "
слабоумие псевдопаралитическое ,"Слабоумие псевдопаралитическое - слабоумие, по своим проявлениям напоминающее паралитическое слабоумие (преобладание эйфории, усиление влечений, полная утрата индивидуальных свойств личности), но этиологически не связанное с прогрессивным параличом "
смешанная криоглобулинемия ,"Смешанная криоглобулинемия - особый тип системного васкулита мелких сосудов (воспаление стенок кровеносных сосудов, при котором поражаются сосуды многих органов или систем органов), характеризующийся отложением в стенке сосудов криоглобулинов и наиболее часто проявляющийся поражением кожи в виде пурпуры и клубочков почек "
соматизация ,"Соматизация - 1) в психиатрии - патоморфоз некоторых психических болезней, при котором вегетативные расстройства преобладают над психопатологическими; 2) в психосоматике - возникновение болезней внутренних органов в результате психических конфликтов "
сомноленция ,"Сомноленция - расстройство сознания, при котором человек утрачивает способность к восприятию речи. Больной сонлив, апатичен, заторможен, вследствие чего он не отчетливо понимает происходящее вокруг. При этом сохраняются защитные реакции в виде отталкивания рукой или отстранения от раздражителя. Больного можно вывести из этого состояния настойчивым обращением к нему или другими внешними воздействиями. Сомноленция может иметь место при инсультах, при черепно-мозговой травме, нейроинфекциях, интоксикациях "
сонный синус ,"Сонный синус (carotid sinus) - небольшое расширение у начала сонной артерии в месте ее разделения на наружную и внутреннюю сонные артерии; в нем присутствуют рецепторы, которые участвуют в регуляции артериального давления "
сонография цветная дуплексная ,Цветная дуплексная сонография - неинвазивный и нерадиоактивный диагностический метод для проведения анализа артерий и вен (представляет собой комбинацию допплеровской технологии с ультразвуковой визуализацией) 
сопор ,"Сопор - глубокая стадия оглушения, при которой отсутствуют реакции на словесное обращение и сохранены только реакции на болевое раздражение "
сосудистая дистония ,"Сосудистая дистония - дистония (патологическое изменение тонуса) кровеносных сосудов, проявляющаяся нарушениями регионарного кровотока или общего кровообращения "
сосудистая лакуна ,"Сосудистая лакуна (Lacuna vasorum, PNA, BNA, JNA) - медиальная часть пространства между паховой связкой и тазовой костью, ограниченная спереди паховой связкой, сзади гребенчатой связкой, латерально подвздошно-гребешковой дугой, медиально лакунарной связкой; содержит бедренную артерию и вену, лимфатический узел, клетчатку. "
спазм сфиктера Одди ,"Спазм сфинктера Одди - заболевание, проявляющееся нарушением тонуса сфинктера общего желчного протока (ОЖП), главного панкреатического протока (ГПП) или общего сфинктера "
спастических ,Спастический - возникающий во время спазмов или напоминающий по своему проявлению спазм. 
сперматозоальная гранулёма ,"Гранулема сперматозоальная (g. spermatozoale; син. Г. сперматогенная) - гранулема, развивающаяся в результате проникновения сперматозоидов в строму придатка яичка при воспалении семявыносящего протока. "
сперматоцеле ,"Сперматоцеле (Spermatocele; спермато- + греч. kele - выбухание, вздутие) - киста яичка, содержащая жидкость с примесью сперматоцитов и сперматозоидов. "
спирометрия ,Спирометрия - измерение жизненной емкости легких и других легочных объемов при помощи спирометра 
спирохеты ,Спирохета - общее название микроорганизмов спирально извитой формы. 
спленомегалия ,Спленомегалия - стойкое увеличение селезенки8 
спленэктомия ,Спленэктомия - хирургическая операция: удаление селезенки 
спонгиоз ,"Спонгиоз - экссудативное воспаление эпидермиса, при котором серозная жидкость скапливается в межклеточных пространствах шиповатого слоя, вследствие чего увеличиваются межклеточные лакуны "
спондилез ,"Спондилез - хроническая болезнь, характеризующаяся дистрофическими изменениями дисков, суставов и связочного аппарата позвоночника с образованием клювовидных и шиловидных остеофитов (патологических костных наростов) по верхнему и нижнему краям тел позвонков. "
спондилит ,"Спондилит - воспаление всех или некоторых структурных элементов позвоночника (межпозвоночных суставов, дисков, тел позвонков) "
спорадический ,"Спорадический - возникающий в виде одиночных случаев (например, о болезни) "
спорадический зоб ,"Зоб спорадический - болезнь, характеризующаяся возникновением зоба, как правило, без выраженных нарушений функции железы, развивающаяся у лиц, проживающих вне эндемичных по зобу районов "
спру ,"Спру - хроническая болезнь неясной этиологии, характеризующаяся нарушением всасывания в кишечнике глюкозы, жиров и витаминов, диареей, анемией, возникновением афт (небольшое изъязвление полости рта в виде белых или красных пятнышек). "
средостения ,"Средостение - часть грудной полости, расположенная между правым и левым плевральными мешками, ограниченная спереди грудиной, сзади грудным отделом позвоночника, снизу диафрагмой, сверху верхней апертурой грудной клетки.6 "
стаз ,"Стаз - 1. Остановка в просвете того или иного трубчатого органа его физиологического содержимого. 2. Остановка естественного тока крови или другой физиологической жидкости (например, желчи, мочи, слюны) в ограниченной области тела "
статин ,"Статины — это группа лекарств, понижающих уровень общего холестерина и холестерина ЛПНП (""плохого холестерина"") в крови. "
стеатоз печени ,"Стеатоз печени - наиболее распространённый гепатоз, при котором в печёночных клетках происходит накопление жира "
стеатонекроз ,"Стеатонекроз - очаги скопления кальциевых солей жирных кислот, образовавшихся вследствие расщепления жиров "
стеаторея ,"Стеаторея - повышенное содержание в кале нейтрального жира, жирных кислот или мыл.0 "
стеноз ,Стеноз - сужение трубчатого органа или его наружного отверстия.0 
стеноз аортальный ,"Стеноз устья аорты (син. стеноз аортальный) - порок сердца: сужение отверстия аорты; клинически проявляется симптомами гипертрофии, позже дилатации левого желудочка, систолическим шумом над аортой, проводящимся по ходу крупных артерий "
стеноз митральный ,"Стеноз левого атриовентрикулярного отверстия (син. стеноз митральный) - порок сердца: сужение левого предсердно-желудочкового отверстия; клинически проявляется хлопающим первым тоном, пресистолическим, протодиастолическим, реже мезодиастолическим шумом на верхушке сердца, акцентом или расщеплением второго тона над легочным стволом, уменьшением пульсового давления, а рентгенологически - митральной конфигурацией сердца "
стенокардия ,"Стенокардия - форма ишемической болезни сердца, характеризующаяся приступами ангинозной боли продолжительностью от нескольких секунд до 20 мин. и более, купирующимися нитроглицерином "
стенокардия Принцметала ,"Принцметала стенокардия - форма коронарной недостаточности, отличающаяся продолжительными (до 1 часа) приступами болей, часто сопровождающимися экстрасистолией и не купируемыми нитроглицерином; во время приступа регистрируются изменения электрокардиограммы, подобные наблюдаемым при инфаркте миокарда, но исчезающие сразу по окончании приступа "
стенокардия напряжения ,"Стенокардия напряжения - форма стенокардии, при которой приступы ангинозной боли (боль давящего, сжимающего или жгучего характера, локализующаяся за грудиной) возникают только в связи с физической нагрузкой "
стенотическое дыхание ,"Стенотическое дыхание -  разновидность шумного дыхания с обилием хрипов; наблюдается при сужении верхних дыхательных путей в результате отека, наличия опухоли, инородного тела и т.п. "
стент ,"Стент -  расширитель, вводимый внутрь протока или канала. Он может использоваться во время проведения операций для ускорения заживления анастомоза или вводиться в место обструкции для сохранения открытого просвета, например, желчного протока, перекрытого опухолью. "
стентирование ,"Стентирование - оперативное вмешательство, проводимое с целью установки стента (специальная конструкция, которая помещается в просвет полых органов и обеспечивает расширение участка, суженного патологическим процессом) "
стигмы ,Стигма -   1) характерный признак какого-либо заболевания; 2) любое пятно на коже или ее поражение. 
стома ,Стома - созданный оперативным путем наружный свищ полого органа 
стоматит ,Стоматит - воспаление слизистой оболочки полости рта 
странгуляция ,"Странгуляция - ущемление, перекрытие путем сдавливания какого-либо отверстия, например, дыхательных путей, кровеносного сосуда или отдела желудочно-кишечного тракта "
стриарный ,Стриарный - относящийся к полосатому телу (парное скопление серого вещества в толще полушарий большого мозга) 
стридора ,"Стридор - свистящий шум, возникающий главным образом во время вдоха, обусловленный резким сужением просвета гортани, трахеи или бронхов. "
стриктура пищевода ,"Стриктура пищевода - сужение, уменьшение просвета пищевода различной природы. "
стриктуры ,Стриктура -  резкое сужение просвета какого-либо трубчатого органа вследствие патологических изменений его стенок8 
строма ,Строма - соединительнотканная опорная структура органа или опухоли 
струма ,"Струма - 1) Зоб - патологически увеличенная щитовидная железа; 2) (устар.) Аденоматозные разрастания, развивающиеся в некоторых органах при их атрофии и склерозе, например почках, яичниках, гипофизе, надпочечниках "
струмогены ,"Струмогены (зобогены) - вещества, вызывающие рост щитовидной железы и препятствующие синтезу тиреоидных гормонов "
субфибрилитет ,Субфибрилитет (субфебрильная температура) - температура тела в пределах 37-38 градусов 
суперантиген ,"Суперантиген - продукт бактерий и вирусов, обладающий высокой способностью к вызову реакции имунного ответа у организма за счет Т-клеточных антигенраспознающих рецепторов и вызывают чрезмреное высвобождение цитотоксинов (общее название веществ, токсичных для клеток) "
суперинфекция ,"Суперинфекция - повторное заражение новым инфекционным заболеванием в условиях незавершившегося инфекционного заболевания, вызванное другим микроорганизмом, обычно устойчивым к лекарственному веществу, которое применялось для лечения первичной инфекции0 "
сурфактант легочный ,"Антиателектатический фактор (син. легочный сурфактант, поверхностно-активное вещество легких) - вещество фосфолипидной природы, регулирующее поверхностное натяжение слизистого слоя легочных альвеол, препятствуя их полному спадению при выдохе; предположительно вырабатывается пневмоцитами (клетками альвеолярной стенки) "
сфигмография ,"Сфигмография - метод исследования гемодинамики, основанный на регистрации пульсовых колебаний стенок артерий "
сфинктер ,"Сфинктер (син. жом) -  круговая мышца, сжимающая полый орган или замыкающая какое-либо отверстие "
сфинктер Одди ,"Сфинктер Одди (sphincter ampullae hepatopancreaticae, сфинктер печеночно-поджелудочной ампулы) - мышечные волокна стенки печеночно-поджелудочной ампулы в большом сосочке двенадцатиперстной кишки, сжимающие его "
сфинктерометрия ,Сфинктерометрия - совокупность методов измерения тонуса сфинктеров 
сфинктеротомия ,Сфинктеротомия - хирургическая операция: рассечение какого-либо сфинктера при его рубцовой стриктуре 
сцинтиграфия ,"Сцинтиграфия - радиоизотопный метод визуализации распределения радиофармацевтического препарата в организме, органе или ткани.0 "
тампонада сердца ,"Тампонада сердца - сдавление сердца кровью или экссудатом, скопившимися в полости перикарда3 "
тахиаритмия ,Тахиаритмия - патологически быстрый сердечный ритм (обычно от 100 до 400 ударов в минуту) в верхних камерах сердца (фибрилляция предсердий) или в нижних (фибрилляция желудочков) 
тахикардия ,Тахикардия - повышенная частота сердечных сокращений (более 100 в 1 мин.)3 
тахикардия пароксизмальная ,"Тахикардия пароксизмальная - аритмия в виде внезапно начинающихся и так же внезапно прекращающихся приступов тахикардии, обусловленных активностью гетеротопных очагов автоматизма или (чаще) патологической циркуляцией волны возбуждения по миокарду "
тахипноэ ,Тахипноэ - учащенное дыхание без его углубления 
текалютеиновая киста ,"Киста текалютеиновая - киста яичника, образующаяся в результате гиперстимуляции фолликулов хорионическим гонадотропином, например, при пузырном заносе, хорионэпителиоме "
телеангиэктазий ,Телеангиэктазия - локальное чрезмерное расширение капилляров и мелких сосудов.7 
тендинитов ,"Тендинит -  дистрофия ткани сухожилия, сопровождаемая явлениями вторичного (реактивного) воспаления "
тенезмы ,"Тенезмы - ложные болезненные позывы к дефекации, например при проктите, дизентерии4 "
тератогенное действие ,"Тератогенное действие - нарушение эмбрионального развития под воздействием тератогенных факторов — некоторых физических, химических (в том числе лекарственных препаратов) и биологических агентов (например, вирусов) с возникновением морфологических аномалий и пороков развития "
тератома ,"Тератома - опухолеподобное образование, возникающее в результате нарушения формирования тканей в эмбриональном периоде развития; состоит из одной или нескольких зрелых тканей; может расти и развиваться параллельно с ростом организма "
терминальный ,"ТЕРМИНАЛЬНЫЙ (от лат. terminalis— заключительный, конечный) - пограничный, концевой. "
тетрада Фалло ,"Тетрада Фалло - врожденный порок сердца: сочетание стеноза устья легочного ствола, дефекта межжелудочковой перегородки, смещения аорты вправо и вторично развивающейся гипертрофии правых отделов сердца "
тимпанит ,"Тимпанит (перкуторный звук тимпанический) - громкий, средней высоты или высокий перкуторный звук, возникающий при перкуссии над полым органом или полостью, содержащей воздух "
тинкториальный ,Тинкториальный - относящийся к окраске или окрашиванию 
тиреоидит ,Тиреоидит - воспаление щитовидной железы 
тиреоидит Риделя ,"Риделя тиреоидит (син. Риделя струма) - хроническое воспаление щитовидной железы, характеризующееся первичным разрастанием волокнистой соединительной ткани с вторичной гибелью фолликулярного эпителия щитовидной железы; фиброз может распространяться на окружающие ткани, имитируя злокачественную опухоль "
тиреоидный гормон ,"Гормон тиреоидный - йодосодержащее вещество, синтезируемое и секретируемое щитовидной железой; играет важную роль в обменных процессах в организме, а также воздействует на психическое и физическое развитие человека "
тиреоидэктомия ,Тиреоидэктомия - хирургическая операция: удаление щитовидной железы 
тиреотоксикоз ,"Тиреотоксикоз - патологическое состояние, обусловленное поступлением в организм чрезмерного количества гормонов щитовидной железы и характеризующееся повышением основного обмена, нарушениями функций нервной и сердечно-сосудистой систем.6 "
тирозинемия ,"Тирозинемия — повышенная концентрация тирозина в крови. Заболевание приводит к увеличению выделения с мочой соединений тирозина, гепатоспленомегалии, узловому циррозу печени, множественным дефектам почечной канальцевой реабсорбции и витамин D резистентному рахиту. Тирозинемия и экскреция тирозила возникают при ряде наследуемых (р) ферментопатий: недостаточности фумарилацетоацетазы (тип I), тирозин аминотрансферазы (тип II), 4-гидроксифенилпируват гидроксилазы (тип III) "
тироцит ,Тироцит -  эпителиальная клетка; из тироцитов построены стенки фолликулов щитовидной железы 
токсемия ,Токсемия -  наличие в крови токсина (токсинов) 
токсический ,"токсический - вызванный действием токсинов, ядовитый, отравляющий "
токсоплазмоз ,"Токсоплазмоз - паразитарное заболевание человека и животных, вызываемое токсоплазмами Toxoplasma gondii. Чаще протекает хронически, с субфебрильной температурой, головной болью, увеличением лимфоузлов и печени, понижением работоспособности; может сопровождаться поражением глаз, сердца, нервной и др. систем и органов. Может протекать в латентной форме "
тонзиллит ,Тонзиллит - воспаление нёбных миндалин 
тонзиллэктомия ,Тонзиллэктомия - хирургическая операция по полному удалению небных миндалин 
тонико-клонические судороги ,"Тонико-клонические судороги начинаются внезапно с потери сознания, зрачки при этом расширяются. В фазе тонических судорог, которая длится несколько десятков секунд, вся скелетная мускулатура становится напряженной, глазные яблоки закатываются вверх. Далее наступает фаза клонических судорог длительностью около 40 секунд, при которой периоды конвульсии (сокращений) чередуются с периодами релаксации (расслаблений) в мышцах туловища. Приступ заканчивается комой, которая переходит в сон или в состояние кратковременного оглушения. У лиц, перенесших судорожный припадок, происходит выделение кровянистой пены изо рта. Прикус языка и обильное слюноотделение – характерные симптомы тонико-клонических судорог. "
топическая диагностика ,Топическая диагностика - это определение местонахождения очага болезни. 
торакальная ,"Торакальный - относящийся к груди, к грудной клетке. "
торакоабдоминальный , Торакоабдоминальный - относящийся одновременно к грудной и брюшной полости 
торпидном течении ,"Торпидное течение - вялое, скрытое, без явных симптомов, длительно не проявляющихся. "
торпидность ,"Торпидность - вялость, болезненно ослабевшая возбуждаемость организма "
точка Боткина ,"Боткина точка - участок поверхности передней грудной стенки в IV межреберье между левыми стернальной и парастернальной линиями, в котором наиболее отчетливо выслушивается ряд аускультативных проявлений митральных пороков сердца (например, тон открытия митрального клапана), недостаточности аортального клапана (протодиастолический шум) и регистрируются функциональные систолические шумы "
точка Губергрица ,"Точка Губергрица - болевая точка при остром панкреатите, расположенная в 6 см от пупка на линии, соединяющей его с левой подмышечной впадиной "
точка Дежардена ,"Дежардена панкреатическая точка - болевая точка при остром панкреатите, расположенная в 6 см от пупка на линии, соединяющей его с правой подмышечной впадиной "
трабекула ,"Трабекула - соединительнотканная перемычка, отходящая от капсулы органа "
тракционный бронхоэктаз ,Тракционный бронхоэктаз - расширение и неравномерность просвета бронха у пациентов с легочным фиброзом из-за тяги фиброзной ткани на стенку бронха 
трансверзит ,"Трансверзит - форма сегментарного колита (воспаление слизистой оболочки толстой кишки с изолированным поражением ее одного или нескольких отделов), характеризующаяся локализацией процесса в поперечной ободочной кишке "
трансмиссивная болезнь ,"Трансмиссивные болезни - заразные болезни человека, возбудители которых передаются кровососущими членистоногими (насекомыми и клещами) "
трансмуральный ,"Трансмуральный - пронизывающий, захватывающий все слои органа. "
трансовариальная передача ,"Трансовариальная передача возбудителя инфекции - способность самок кровососущих членистоногих (переносчиков возбудителей болезней человека и животных) передавать полученных возбудителей потомству, то есть откладывать зараженные яйца, из которых затем выходят зараженные личинки "
транссудат ,"Транссудат - бедная белками жидкость, скапливающаяся в тканевых щелях и полостях тела при отеках "
трансторакальный ,Проходящий через грудную клетку. 
трансфузия ,Трансфузия - переливание крови от здорового человека (донора) пациенту (реципиенту) 
трахеит ,Трахеит - воспаление слизистой оболочки трахеи 
трахеобронхит ,Трахеобронхит - воспаление слизистой оболочки трахеи и бронхов 
трахеостома ,Трахеостома - искусственный наружный свищ трахеи 
трахома ,"Трахома - инфекционная болезнь, вызываемая хламидиями; может приводить к образованию рубцового заворота век, трихиазу, помутнению роговицы, к слепоте "
трема ,"Трема - наличие промежутка или нескольких промежутков между зубами при целом зубном ряде; возникает, например, при чрезмерном росте челюсти "
треугольник Пти ,"Поясничный треугольник (син. Пти треугольник) - участок задней брюшной стенки, ограниченный снизу подвздошным гребнем, медиально - краем широчайшей мышцы спины, латерально - наружной косой мышцей живота; место выхода поясничных грыж "
триггер ,"Триггер - пусковой механизм, провоцирующее вещество или фактор0 "
